39346000033847,"Cyrus Hall McCormick : Harvest, 1856-1884 ; [by] William T. Hutchinson.",1930
39346000041477,"The Schuman plan : a study in economic cooperation, 1950-1959.",1959
39346000041980,The Evening post;,1922
39346000128001,Samuel Hahnemann's Organon of homÅ“pathic medicine ...,1849
39346000203754,"School architecture; principles and practices, by John J. Donovan ... and others ...",1921
39346000228546,"The first century of the Philadelphia college of pharmacy, 1821-1921. Published by the Philadelphia college of pharmacy and science. Joseph W. England, editor ...",1922
39346000235558,"Plane and spherical trigonometry, and Four-place tables of logarithms, by William Anthony Granville ...",1909
39346000258725,"Differential equations in applied chemistry, by Frank Lauren Hitchcock ... and Clark Shove Robinson ...",1923
39346000259202,Shades and shadows / by David C. Lange ...,1921
39346000259244,"Descriptive geometry,",1929
39346000259392,"Elements of descriptive geometry,",1911
39346000259491,"Higher geometry; an introduction to advanced methods in analytic geometry, by Frederick S. Woods ...",1922
39346000347189,"The first century of the Philadelphia college of pharmacy, 1821-1921. Published by the Philadelphia college of pharmacy and science. Joseph W. England, editor ...",1922
39346000370108,The Supreme court and the Constitution / by Charles A. Beard.,1938
39346000374753,"Thyroxine, by Edward C. Kendall ...",1929
39346000377673,A historical appraisal of mechanics.,1948
39346000412363,"Physical mechanics; an intermediate text for students of the physical sciences, by Robert Bruce Lindsay ...",1933
39346000412470,Algebraic functions. -,1933
39346000412496,Differential equations for electrical engineers / by Philip Franklin.,1933
39346000412579,Functions of real variables / by William Fogg Osgood.,1938
39346000418675,"Tables of the higher mathematical functions, computed and compiled under the direction of Harold T. Davis ... with the co-operation of: Muriel E. Adams: Catherine Bennett ... [and others].",1933
39346000418683,"Tables of the higher mathematical functions, computed and compiled under the direction of Harold T. Davis ... with the co-operation of: Muriel E. Adams: Catherine Bennett ... [and others].",1933
39346000419335,"Conformal representation,",1932
39346000420838,English literary periodicals : by Walter Graham.,1930
39346000423824,"A treatise on algebraic plane curves,",1931
39346000484859,Automotive giants of America;,1926
39346000485799,United States oil imports; a case study in international trade.,1958
39346000521874,"The story of penicillin, by Boris Sokoloff, M. D.",1945
39346000522906,"Yellow magic, the story of penicillin,",1945
39346000537763,"Functions of real variables,",1928
39346000552481,White caps; the story of nursing ...,1946
39346000553802,"An American dynasty,",1947
39346000563488,The international control of atomic energy : The ... report of the United nations atomic energy commission to the Security council /,1947
39346000565145,"Buna rubber, the birth of an industry,",1947
39346000576688,"A history of the Petroleum Administration for War, 1941-1945.",1946
39346000579351,"A treatise on the differential geometry of curves and surfaces,",1909
39346000579567,Projective geometry / by John Wesley Young.,1930
39346000602088,"The tobacco industry in the United States,",1907
39346000606501,"Men and volts at war; the story of General Electric in World War II, by John Anderson Miller ...",1947
39346000678518,"Briton Hadden, a biography of the co-founder of Time.",1949
39346000678872,The international control of atomic energy : The ... report of the United nations atomic energy commission to the Security council /,1947
39346000718751,The international control of atomic energy : The ... report of the United nations atomic energy commission to the Security council /,1947
39346000742538,"Aureomycin, a review of the clinical literature.",1950
39346000781221,"Measurement and evaluation in the elementary school,",1942
39346000788457,"The ropemakers of Plymouth : a history of the Plymouth Cordage Company, 1824-1949 / by Samuel Eliot Morison.",1950
39346000792202,Prologue to tomorrow : a history of the first hundred years in the life of the Pennsylvania Salt Manufacturing Company / Robert Keith Leavitt.,1950
39346000803504,"Mechanics,",1947
39346000847139,"Theory of functions, by Dr. Konrad Knopp ... translated by Frederick Bagemihl ...",1945
39346000905168,"Harmonics, sidebands, and transients in communication engineering,",1952
39346000925463,"Higher transcendental functions. Based, in part, on notes left by Harry Bateman, and compiled by the staff of the Bateman Manuscript Project. [Director: Arthur Erdélyi. Research associates: Wilhelm Magnus, Fritz Oberhettinger, and Francesco G. Tricomi]",1953
39346000925471,"Higher transcendental functions. Based, in part, on notes left by Harry Bateman, and compiled by the staff of the Bateman Manuscript Project. [Director: Arthur Erdélyi. Research associates: Wilhelm Magnus, Fritz Oberhettinger, and Francesco G. Tricomi]",1953
39346000948994,Differential equations / by H.B. Phillips.,1934
39346000961252,Foundations of potential theory.,1953
39346000961666,Lectures on partial differential equations. Translated from the Russian by A. Shenitzer.,1954
39346000961674,Analytic functions.,1952
39346000961765,"Theory of oscillations,",1949
39346000962722,Introduction to the theory of functions of a complex variable.,1953
39346000982712,"Schools for the new needs: educational, social, economic.",1956
39346000985947,An introduction to abstract harmonic analysis.,1953
